Date,Car,Bike,Bus,Cycle,Walk,Electricity,Water,Recycling,Plastic,Transport Score,Electricity Score,Water Score,Recycling Score,Plastic Score,Eco Score,Achievement Level
2026-05-27,0,0,4,1,2,258,223,sometimes,7,50.0,70,70,50,30,54.0,Improving
2026-05-28,6,3,4,1,5,185,292,never,6,30.5,70,70,20,30,42.15,Improving
2026-05-29,2,2,4,0,4,267,139,sometimes,8,42.0,70,70,50,30,51.6,Improving
2026-05-30,2,1,0,4,4,289,330,often,6,52.0,70,40,80,30,56.1,Improving
2026-05-31,8,2,1,1,8,121,346,sometimes,2,34.0,70,40,50,100,55.2,Improving
2026-06-01,1,0,2,4,2,296,165,always,2,52.0,70,70,100,100,75.1,Eco-Friendly
2026-06-02,2,1,3,0,2,201,298,often,7,42.0,70,70,80,30,57.6,Improving
2026-06-03,6,3,2,4,7,225,201,always,5,38.5,70,70,100,70,66.55,Eco-Friendly
2026-06-04,4,1,4,3,2,174,151,sometimes,3,38.0,70,70,50,70,56.4,Improving
2026-06-05,0,2,3,1,5,289,274,sometimes,7,51.5,70,70,50,30,54.45,Improving
2026-06-06,6,2,1,3,5,169,326,often,3,37.5,70,40,80,70,57.75,Improving
2026-06-07,3,3,3,4,8,204,196,sometimes,6,48.0,70,70,50,30,53.4,Improving
2026-06-08,2,2,2,4,0,202,324,never,7,42.0,70,40,20,30,41.1,Improving
2026-06-09,5,3,3,3,6,250,272,never,1,38.0,70,70,20,100,54.9,Improving
2026-06-10,2,2,0,0,8,222,96,often,0,52.0,70,100,80,100,75.6,Eco-Friendly
2026-06-11,4,1,2,1,3,340,298,sometimes,7,39.5,40,70,50,30,44.85,Improving
2026-06-12,4,0,1,3,5,279,82,often,1,47.5,70,100,80,100,74.25,Eco-Friendly
2026-06-13,2,2,2,3,1,281,203,sometimes,6,42.5,70,70,50,30,51.75,Improving
2026-06-14,4,3,2,3,4,276,315,often,2,39.0,70,40,80,100,62.7,Eco-Friendly
2026-06-15,5,1,5,3,5,161,280,sometimes,1,38.5,70,70,50,100,61.05,Eco-Friendly
2026-06-16,7,2,5,3,8,104,111,never,8,35.0,70,70,20,30,43.5,Improving
2026-06-17,0,1,4,2,6,310,326,often,5,55.0,40,40,80,70,57.0,Improving
2026-06-18,3,1,1,1,2,316,345,often,1,42.0,40,40,80,100,57.6,Improving
2026-06-19,1,3,4,2,5,163,267,never,4,46.5,70,70,20,70,52.95,Improving
2026-06-20,2,2,2,2,7,313,257,never,7,50.5,40,70,20,30,42.15,Improving
2026-06-21,4,2,4,3,2,342,292,never,3,36.0,40,70,20,70,43.8,Improving
2026-06-22,3,1,4,3,3,303,230,never,8,42.5,40,70,20,30,39.75,Beginner
2026-06-23,3,2,2,1,4,273,255,always,6,42.0,70,70,100,30,61.6,Eco-Friendly
2026-06-24,5,3,3,0,7,349,290,sometimes,6,36.5,40,70,50,30,43.95,Improving
2026-06-25,7,3,0,4,2,311,122,sometimes,6,30.0,40,70,50,30,42.0,Improving
2026-06-26,4,0,4,3,2,176,107,never,6,40.0,70,70,20,30,45.0,Improving
2026-06-27,0,2,5,2,5,223,305,often,6,50.5,70,40,80,30,55.65,Improving
2026-06-28,0,3,0,4,2,252,296,sometimes,7,51.0,70,70,50,30,54.3,Improving
2026-06-29,8,0,1,1,5,92,222,always,7,33.5,100,70,100,30,65.05,Eco-Friendly
2026-06-30,5,3,5,4,8,345,247,never,5,40.0,40,70,20,70,45.0,Improving
2026-07-01,5,0,1,3,2,323,299,often,7,40.0,40,70,80,30,51.0,Improving
2026-07-02,3,2,3,1,3,120,303,sometimes,7,39.5,70,40,50,30,46.35,Improving
2026-07-03,8,3,1,0,3,269,309,sometimes,1,23.5,70,40,50,100,52.05,Improving
2026-07-04,6,1,2,1,4,91,191,often,7,35.0,100,70,80,30,61.5,Eco-Friendly
2026-07-05,7,1,3,2,0,143,123,sometimes,3,26.0,70,70,50,70,52.8,Improving
2026-07-06,1,2,3,0,3,172,160,always,1,44.5,70,70,100,100,72.85,Eco-Friendly
2026-07-07,8,2,3,4,7,282,260,never,8,33.5,70,70,20,30,43.05,Improving
2026-07-08,2,1,5,2,1,212,211,always,0,40.5,70,70,100,100,71.65,Eco-Friendly
2026-07-09,5,2,0,3,6,249,319,never,7,43.0,70,40,20,30,41.4,Improving
2026-07-10,1,2,0,3,7,242,272,sometimes,4,56.5,70,70,50,70,61.95,Eco-Friendly
2026-07-11,1,1,5,1,0,217,116,never,3,41.0,70,70,20,70,51.3,Improving
2026-07-12,4,2,0,3,5,133,176,often,8,44.5,70,70,80,30,58.35,Improving
2026-07-13,4,3,0,0,1,117,338,sometimes,4,33.5,70,40,50,70,50.55,Improving
2026-07-14,4,0,5,1,2,234,124,always,7,37.0,70,70,100,30,60.1,Eco-Friendly
2026-07-15,0,0,4,4,0,259,334,often,5,50.0,70,40,80,70,61.5,Eco-Friendly
2026-07-16,3,0,5,3,5,326,159,never,3,46.5,40,70,20,70,46.95,Improving
2026-07-17,6,2,1,2,2,141,216,always,1,32.0,70,70,100,100,69.1,Eco-Friendly
2026-07-18,8,2,4,2,4,191,327,often,7,26.0,70,40,80,30,48.3,Improving
2026-07-19,3,3,2,0,8,163,278,never,2,45.0,70,70,20,100,57.0,Improving
2026-07-20,8,2,3,0,6,277,126,never,6,28.0,70,70,20,30,41.4,Improving
2026-07-21,3,1,2,1,5,113,98,often,7,45.5,70,100,80,30,63.15,Eco-Friendly
2026-07-22,0,3,2,3,2,143,200,often,1,48.0,70,70,80,100,69.9,Eco-Friendly
2026-07-23,7,2,5,1,4,204,300,often,0,27.0,70,70,80,100,63.6,Eco-Friendly
2026-07-24,0,2,3,4,2,148,311,always,6,50.0,70,40,100,30,59.5,Improving
2026-07-25,5,3,5,1,1,184,158,sometimes,8,26.5,70,70,50,30,46.95,Improving
2026-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,never,0,50.0,100,100,20,100,69.0,Eco-Friendly
