metric,value
simulation_count,1000
calibration_mode,normal_quantile_mapping
eco_score_average,49.85
eco_score_min,22.46
eco_score_max,72.84
transport_impact_5th_percentile,137.51
transport_impact_95th_percentile,198.3
category_average_transport,49.95
category_average_electricity,49.91
category_average_water,49.95
category_average_recycling,52.23
category_average_plastic,46.28
level_Unsustainable,0
level_Beginner,115
level_Improving,780
level_Eco-Friendly,105
level_Sustainability Champion,0
assumed_avg_car_km_day,30.0
assumed_avg_bike_km_day,35.0
assumed_avg_bus_passenger_km_day,40.0
assumed_avg_cycle_km_day,24.0
assumed_avg_walk_km_day,5.67
assumed_avg_electricity_kwh_day,6.0
assumed_avg_water_liters_day,303.33
