run,car,bike,bus,cycle,walk,electricity,water,recycling,plastic
1,24.63,32.67,29.62,28.74,2.62,4.88,466.02,sometimes,0
2,30.25,29.58,25.13,29.61,6.93,6.68,375.28,always,3
3,33.15,39.6,38.5,26.38,5.38,6.02,404.85,often,3
4,30.27,32.97,50.48,26.06,9.36,8.09,251.29,sometimes,0
5,26.24,28.93,55.57,21.82,4.84,3.96,473.31,sometimes,3
6,33.81,40.05,50.58,19.5,6.32,3.74,512.1,often,1
7,31.04,34.41,43.07,32.63,3.91,6.49,371.7,sometimes,4
8,34.01,35.54,42.46,22.97,5.27,10.63,258.09,sometimes,6
9,26.65,38.83,35.48,26.38,8.95,6.37,410.66,sometimes,5
10,27.77,31.35,41.37,36.04,4.13,5.6,325.06,sometimes,4
11,25.72,43.06,35.64,38.66,8.54,8.47,208.03,never,5
12,23.73,35.11,45.1,23.84,6.15,6.92,412.54,always,10
13,27.41,35.59,49.7,16.0,4.99,3.12,191.83,never,4
14,30.59,32.9,38.63,33.58,2.39,7.28,238.36,often,4
15,37.71,33.37,29.69,32.39,3.05,2.59,439.92,never,5
16,34.81,34.41,49.13,29.52,7.99,6.11,492.54,always,3
17,30.66,28.17,41.77,21.78,5.7,7.73,338.07,often,5
18,31.74,38.61,34.42,18.28,6.18,2.74,176.28,always,3
19,29.63,36.31,43.4,37.71,3.59,8.28,284.65,sometimes,5
20,34.85,32.65,37.49,26.33,4.6,6.95,222.03,always,6
21,36.29,40.56,43.09,27.36,5.78,7.17,339.91,sometimes,3
22,24.21,36.09,29.37,32.76,8.08,5.85,222.77,sometimes,3
23,34.82,37.95,49.19,24.79,3.97,4.84,163.34,never,6
24,31.1,32.33,29.79,21.5,3.64,2.99,476.5,sometimes,3
25,30.31,30.29,38.01,24.34,5.61,8.25,507.6,always,4
26,30.46,31.15,38.34,20.97,5.05,4.79,116.58,sometimes,5
27,26.91,34.45,24.8,22.85,5.53,6.75,292.08,often,6
28,27.38,31.67,48.97,26.43,3.84,7.02,417.97,sometimes,4
29,31.23,37.98,52.36,24.27,4.38,4.52,333.97,sometimes,5
30,29.55,37.25,43.77,26.87,5.05,4.72,473.44,always,2
31,21.93,29.24,52.48,18.62,3.07,2.11,331.36,always,2
32,32.61,30.79,48.25,27.95,9.17,6.32,169.83,often,5
33,34.31,35.75,47.84,32.13,4.26,2.79,245.7,sometimes,8
34,30.52,32.05,42.15,30.74,4.74,8.92,397.61,often,5
35,29.96,30.26,36.46,34.39,4.79,2.74,348.98,sometimes,8
36,30.02,38.89,23.71,22.99,2.71,6.69,334.38,sometimes,6
37,28.81,43.36,53.04,24.52,8.08,9.98,195.83,often,6
38,30.79,41.38,45.74,35.96,2.99,4.74,426.03,often,7
39,30.58,29.65,31.69,27.5,4.18,7.82,244.26,often,3
40,28.55,34.36,50.86,22.86,6.07,7.06,404.55,often,3
41,28.47,42.25,49.75,23.74,5.97,6.31,347.5,always,0
42,21.63,35.48,52.16,29.47,9.02,5.08,558.11,always,8
43,34.11,33.72,38.33,17.71,2.63,5.95,346.27,often,8
44,32.05,42.7,57.97,21.42,7.88,6.24,394.96,sometimes,6
45,29.87,33.73,47.26,21.34,2.96,6.03,472.83,sometimes,5
46,32.89,33.5,39.53,11.0,2.78,7.09,221.75,often,5
47,30.05,40.46,32.41,16.67,6.38,2.83,394.23,often,2
48,37.17,32.26,25.07,34.95,5.99,7.79,219.52,sometimes,0
49,33.66,39.98,54.3,25.14,6.86,7.09,360.65,often,4
50,28.76,31.57,29.14,24.92,2.93,7.18,280.48,often,2
51,31.98,38.52,48.83,21.19,3.63,5.49,96.32,never,5
52,23.98,37.76,49.96,38.49,6.16,6.3,279.33,never,6
53,31.54,38.88,53.32,28.69,4.43,2.75,370.92,often,3
54,32.99,35.37,46.55,34.71,5.35,7.26,140.8,sometimes,2
55,29.11,33.55,27.11,21.82,5.72,3.54,102.8,sometimes,4
56,30.76,32.38,44.64,31.49,4.05,6.31,308.96,sometimes,7
57,28.63,43.32,50.05,21.3,5.19,5.55,190.73,always,4
58,25.02,31.3,38.68,23.66,4.08,6.31,247.67,sometimes,5
59,38.66,29.06,37.82,28.05,3.59,9.22,458.41,often,3
60,34.5,27.59,49.96,20.1,8.24,4.93,234.75,always,3
61,31.94,27.76,37.65,18.66,5.37,8.18,96.18,sometimes,4
62,32.49,34.91,43.57,28.58,3.92,7.01,395.35,often,0
63,35.46,36.34,36.13,14.12,5.98,4.94,254.69,sometimes,4
64,29.27,36.83,37.7,24.71,3.49,3.56,459.69,sometimes,4
65,28.43,31.35,54.26,18.3,6.11,2.17,402.15,often,4
66,29.03,31.7,28.67,28.93,8.16,8.18,360.11,often,5
67,34.53,36.42,48.68,20.73,3.69,5.08,248.8,never,9
68,27.25,34.18,37.78,19.12,3.33,9.08,276.77,sometimes,0
69,28.05,30.42,39.32,23.7,3.14,3.29,77.44,sometimes,4
70,27.01,29.7,36.64,15.05,7.14,5.93,271.68,sometimes,2
71,29.1,36.96,39.28,20.74,7.52,5.43,208.4,sometimes,0
72,24.91,29.99,29.33,17.04,7.55,4.07,217.84,sometimes,4
73,33.57,27.74,45.14,32.97,8.54,5.72,409.91,often,5
74,27.77,41.81,33.5,14.81,3.4,9.57,177.49,often,3
75,32.38,31.88,30.57,17.02,5.53,5.71,591.21,often,4
76,30.87,32.05,53.76,33.3,6.24,9.31,255.93,sometimes,8
77,23.39,34.33,30.2,25.53,3.69,8.1,429.14,sometimes,9
78,30.2,36.65,32.68,28.54,6.37,7.11,405.38,sometimes,3
79,31.91,36.97,56.97,26.78,5.54,4.46,377.14,never,4
80,37.03,29.81,25.91,20.38,4.0,7.33,410.55,always,3
81,28.65,36.2,44.77,14.39,7.32,2.67,303.03,always,6
82,25.27,36.01,30.66,33.28,4.12,5.94,374.71,always,7
83,35.93,39.81,56.61,24.22,7.01,7.74,383.81,sometimes,8
84,26.02,38.69,33.34,22.85,7.83,6.95,401.66,often,0
85,34.6,33.6,50.37,30.71,8.69,5.15,505.82,sometimes,1
86,25.0,34.03,33.74,24.04,5.8,5.03,338.15,always,2
87,28.29,31.92,36.07,15.63,4.88,2.96,380.46,sometimes,3
88,31.89,38.43,44.84,23.32,3.95,6.59,513.98,often,7
89,27.11,32.77,48.83,30.11,3.99,2.26,169.77,often,4
90,27.63,34.92,45.67,27.75,7.62,8.54,287.72,sometimes,4
91,32.71,33.97,43.73,26.03,4.51,4.64,157.57,never,5
92,31.2,29.25,51.22,25.2,4.72,3.93,489.0,often,0
93,28.4,40.77,34.31,24.93,4.49,8.9,166.77,never,5
94,25.1,29.49,32.97,18.48,2.65,4.17,340.72,always,0
95,33.64,30.66,45.83,31.2,4.95,9.54,196.79,often,3
96,32.42,33.97,43.77,37.78,3.72,6.13,214.27,always,5
97,35.62,35.21,30.19,17.71,4.78,4.34,159.01,sometimes,0
98,27.77,32.66,24.53,26.63,7.71,4.62,440.07,often,8
99,36.6,37.86,48.59,20.6,5.46,8.53,324.36,sometimes,6
100,35.57,31.55,50.34,22.0,7.62,5.05,254.44,often,4
101,33.75,32.87,41.74,22.19,5.66,4.64,261.39,often,5
