run,eco_score,transport_score,electricity_score,water_score,recycling_score,plastic_score,level,transport_impact
1,55.39,75.12,58.26,31.2,33.33,65.68,Improving,136.18
2,66.55,76.8,46.32,41.96,100.0,52.99,Eco-Friendly,135.03
3,48.39,37.48,50.45,38.47,66.67,52.99,Improving,182.7
4,47.02,50.04,36.1,55.14,33.33,65.68,Improving,167.13
5,48.38,53.76,65.42,30.34,33.33,52.99,Improving,163.07
6,45.81,19.79,66.97,24.41,66.67,63.22,Improving,203.13
7,44.71,50.64,47.35,42.31,33.33,46.93,Improving,166.51
8,32.56,35.75,10.22,54.15,33.33,33.38,Beginner,184.7
9,46.7,62.1,48.12,37.75,33.33,40.76,Improving,153.28
10,52.11,69.05,53.11,47.09,33.33,46.93,Improving,145.15
11,42.07,67.11,33.32,61.08,0.0,40.76,Improving,147.45
12,54.67,61.94,44.7,37.43,100.0,10.22,Improving,153.44
13,42.65,39.65,70.88,63.62,0.0,46.93,Improving,179.62
14,54.54,57.18,42.13,57.23,66.67,46.93,Improving,159.03
15,40.04,45.77,75.59,33.86,0.0,40.76,Improving,172.6
16,53.66,38.62,49.92,27.64,100.0,52.99,Improving,180.88
17,50.87,56.35,38.47,45.5,66.67,40.76,Improving,159.76
18,64.48,39.88,73.71,65.48,100.0,52.99,Eco-Friendly,179.31
19,43.92,55.06,34.65,51.28,33.33,40.76,Improving,161.81
20,56.09,44.3,44.46,59.37,100.0,33.38,Improving,174.11
21,37.87,26.29,42.86,45.34,33.33,52.99,Beginner,197.05
22,58.86,83.39,51.66,59.28,33.33,52.99,Improving,129.3
23,34.37,24.73,58.7,68.01,0.0,33.38,Beginner,198.81
24,50.05,55.62,71.49,29.7,33.33,52.99,Improving,160.79
25,55.54,59.06,34.9,25.33,100.0,46.93,Improving,156.76
26,52.29,53.41,59.24,77.58,33.33,40.76,Improving,163.48
27,56.27,70.78,45.93,50.08,66.67,33.38,Improving,143.29
28,44.45,54.58,44.06,37.05,33.33,46.93,Improving,162.26
29,41.15,30.86,61.13,45.93,33.33,40.76,Improving,191.17
30,59.09,45.85,59.65,30.25,100.0,59.1,Improving,172.48
31,70.41,61.84,80.21,46.35,100.0,59.1,Eco-Friendly,153.52
32,54.44,51.02,48.38,66.75,66.67,40.76,Improving,165.96
33,43.89,36.38,73.07,55.94,33.33,22.01,Improving,183.75
34,48.09,56.27,29.22,39.45,66.67,40.76,Improving,159.96
35,52.03,68.97,73.71,44.22,33.33,22.01,Improving,145.29
36,43.59,52.61,46.28,45.85,33.33,33.38,Improving,164.5
37,41.3,31.68,19.79,63.28,66.67,33.38,Improving,189.55
38,46.53,38.87,59.42,36.15,66.67,28.19,Improving,180.42
39,57.08,66.14,37.69,56.11,66.67,52.99,Improving,148.96
40,49.33,45.14,43.61,38.57,66.67,52.99,Improving,173.27
41,56.41,34.06,48.46,44.3,100.0,65.68,Improving,186.96
42,57.69,69.31,56.64,15.1,100.0,22.01,Improving,145.01
43,43.91,34.65,50.98,44.54,66.67,22.01,Improving,186.44
44,32.28,16.14,48.95,39.84,33.33,33.38,Beginner,206.28
45,39.56,40.49,50.34,30.43,33.33,40.76,Beginner,178.55
46,46.52,31.52,43.32,59.65,66.67,40.76,Improving,190.03
47,55.23,41.66,72.71,39.93,66.67,59.1,Improving,177.24
48,50.76,58.74,37.96,60.16,33.33,65.68,Improving,157.16
49,42.41,23.01,43.32,43.11,66.67,46.93,Improving,199.81
50,58.29,65.87,42.77,51.81,66.67,59.1,Improving,149.24
51,37.48,27.17,53.88,82.96,0.0,40.76,Beginner,195.18
52,42.15,65.42,48.57,52.0,0.0,33.38,Improving,149.69
53,51.74,31.28,73.58,42.35,66.67,52.99,Improving,190.36
54,48.24,44.94,42.26,71.81,33.33,59.1,Improving,173.52
55,58.76,64.14,68.24,81.12,33.33,46.93,Improving,151.14
56,43.75,52.95,48.46,48.53,33.33,28.19,Improving,164.12
57,55.91,28.72,53.49,63.73,100.0,46.93,Improving,193.49
58,51.15,67.78,48.46,55.66,33.33,40.76,Improving,146.56
